date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:27:03.800000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:03.981000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:04.141000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:04.481000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:04.821000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:05.081000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:05.341000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:05.721000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:05.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:06.181000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:06.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:06.761000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:07.102000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:07.321000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:07.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:07.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:08.081000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:08.262000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:08.542000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:08.902000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:09.142000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:09.261000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:09.602000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:09.821000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:10.040000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:10.461000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:10.661000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:10.881000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:11.241000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:11.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:11.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:12.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:12.361000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:12.701000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:12.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:13.281000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:13.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:13.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:14.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:14.381000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:14.562000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:14.822000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:15.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:15.501000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:15.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:16.041000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:16.202000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:16.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:16.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:17.061000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:17.420000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:17.901000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:18.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:18.522000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:18.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:19.082000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:19.321000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:19.501000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:20.522000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:20.702000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:21.022000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:21.342000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:21.642000+00:00,9496,-3383,3693,766,1232,1
